
episode,reward,timesteps,successful
1,141,2,0
2,-20,1,0
3,191,3,0
4,-20,1,0
5,-20,1,0
6,-20,1,0
7,-20,1,0
8,-20,1,0
9,0,2,0
10,-20,1,0
11,-20,1,0
12,-20,1,0
13,-20,1,0
14,-20,1,0
15,46,2,0
16,-20,1,0
17,18,2,0
18,558,6,0
19,-20,1,0
20,228,6,0
21,54,3,0
22,-20,1,0
23,-20,1,0
24,6,2,0
25,-20,1,0
26,500,5,0
27,3,2,0
28,-20,1,0
29,-20,1,0
30,-20,1,0
31,-20,1,0
32,-20,1,0
33,159,2,0
34,-14,2,0
35,4,2,0
36,-20,1,0
37,23,3,0
38,65,3,0
39,-20,1,0
40,385,7,0
41,-20,1,0
42,-20,1,0
43,-20,1,0
44,-20,1,0
45,-20,1,0
46,48,4,0
47,-20,1,0
48,37,3,0
49,-20,1,0
50,1071,10,0
51,-20,1,0
52,-20,1,0
53,235,5,0
54,200,3,0
55,-20,1,0
56,-20,1,0
57,9,2,0
58,-20,1,0
59,-20,1,0
60,11,2,0
61,89,3,0
62,148,2,0
63,-20,1,0
64,69,4,0
65,6,3,0
66,-20,1,0
67,-20,1,0
68,-20,1,0
69,164,2,0
70,-20,1,0
71,34,2,0
72,-20,1,0
73,70,4,0
74,-20,1,0
75,-20,1,0
76,1,2,0
77,0,2,0
78,-20,1,0
79,-20,1,0
80,11,4,0
81,-20,1,0
82,-20,1,0
83,147,2,0
84,-20,1,0
85,28,2,0
86,-20,1,0
87,-20,1,0
88,-20,1,0
89,-17,2,0
90,-20,1,0
91,277,3,0
92,-20,1,0
93,171,3,0
94,-20,1,0
95,-20,1,0
96,-20,1,0
97,-20,1,0
98,171,4,0
99,-20,1,0
100,7,2,0
101,-20,1,0
102,3,2,0
103,-20,1,0
104,135,2,0
105,165,2,0
106,-20,1,0
107,21,2,0
108,-20,1,0
109,-20,1,0
110,151,3,0
111,-20,1,0
112,-20,1,0
113,190,4,0
114,-20,1,0
115,-20,1,0
116,-20,1,0
117,166,3,0
118,-20,1,0
119,-20,1,0
120,32,3,0
121,-20,1,0
122,189,4,0
123,131,2,0
124,-20,1,0
125,179,3,0
126,390,6,0
127,180,3,0
128,-20,1,0
129,4,2,0
130,-20,1,0
131,123,2,0
132,-20,1,0
133,-20,1,0
134,44,3,0
135,-20,1,0
136,337,4,0
137,-1,2,0
138,142,2,0
139,189,4,0
140,-20,1,0
141,492,7,0
142,160,2,0
143,3,2,0
144,10,2,0
145,-20,1,0
146,15,2,0
147,-20,1,0
148,-20,1,0
149,396,5,0
150,11,2,0
151,79,4,0
152,-20,1,0
153,-20,1,0
154,121,2,0
155,19,2,0
156,-20,1,0
157,-20,1,0
158,-20,1,0
159,-20,1,0
160,-20,1,0
161,23,2,0
162,-20,1,0
163,153,2,0
164,-20,1,0
165,-20,1,0
166,-20,1,0
167,-20,1,0
168,15,2,0
169,54,3,0
170,-20,1,0
171,-20,1,0
172,-20,1,0
173,-20,1,0
174,-20,1,0
175,-20,1,0
176,38,4,0
177,-20,1,0
178,-20,1,0
179,-20,1,0
180,-20,1,0
181,153,3,0
182,41,2,0
183,-20,1,0
184,357,4,0
185,-20,1,0
186,-20,1,0
187,-20,1,0
188,-20,1,0
189,112,2,0
190,-20,1,0
191,73,4,0
192,131,2,0
193,-20,1,0
