
episode,reward,timesteps,successful
1,174,3,0
2,-20,1,0
3,38,3,0
4,-20,1,0
5,114,2,0
6,116,2,0
7,-20,1,0
8,128,2,0
9,-20,1,0
10,1222,10,1
11,-20,1,0
12,-20,1,0
13,1,2,0
14,25,2,0
15,323,3,0
16,36,4,0
17,-20,1,0
18,-20,1,0
19,4,2,0
20,-20,1,0
21,299,3,0
22,-20,1,0
23,-20,1,0
24,-20,1,0
25,-20,1,0
26,314,3,0
27,-20,1,0
28,106,2,0
29,144,2,0
30,293,4,0
31,284,3,0
32,-20,1,0
33,344,5,0
34,-20,1,0
35,487,5,0
36,-20,1,0
37,-20,1,0
38,-20,1,0
39,160,4,0
40,-20,1,0
41,-20,1,0
42,7,2,0
43,-20,1,0
44,-20,1,0
45,-20,1,0
46,143,2,0
47,146,2,0
48,-20,1,0
49,0,2,0
50,-1,2,0
51,0,2,0
52,-20,1,0
53,-20,1,0
54,-20,1,0
55,457,4,0
56,-2,2,0
57,-20,1,0
58,-20,1,0
59,413,4,0
60,111,2,0
61,-20,1,0
62,159,3,0
63,12,2,0
64,-20,1,0
65,-20,1,0
66,-20,1,0
67,256,3,0
68,-20,1,0
69,129,2,0
70,-20,1,0
71,112,2,0
72,-20,1,0
73,345,5,0
74,173,3,0
75,19,3,0
76,157,2,0
77,-20,1,0
78,-20,1,0
79,-20,1,0
80,-20,1,0
81,-20,1,0
82,-6,2,0
83,-20,1,0
84,-20,1,0
85,27,3,0
86,-20,1,0
87,-20,1,0
88,25,3,0
89,26,2,0
90,568,6,0
91,-20,1,0
92,-20,1,0
93,-20,1,0
94,-20,1,0
95,4,2,0
96,276,3,0
97,130,2,0
98,-20,1,0
99,183,4,0
100,-20,1,0
101,178,4,0
102,423,6,0
103,0,2,0
104,581,6,0
105,178,4,0
106,-20,1,0
107,-20,1,0
108,143,2,0
109,166,3,0
110,454,6,0
111,143,2,0
112,-20,1,0
113,-20,1,0
114,-20,1,0
115,-20,1,0
116,144,2,0
117,-6,2,0
118,-20,1,0
119,156,2,0
120,-20,1,0
121,-20,1,0
122,683,7,0
123,-2,2,0
124,13,2,0
125,-20,1,0
126,-20,1,0
127,-20,1,0
128,155,3,0
129,-20,1,0
130,-20,1,0
131,36,2,0
132,157,3,0
133,136,2,0
134,44,3,0
135,-20,1,0
136,127,2,0
137,117,2,0
138,-20,1,0
139,-20,1,0
140,-20,1,0
141,143,2,0
142,295,3,0
143,-20,1,0
144,18,3,0
145,178,3,0
146,-20,1,0
147,2,2,0
148,-6,2,0
149,-3,2,0
150,-20,1,0
151,30,3,0
152,-20,1,0
153,186,4,0
154,153,3,0
155,-20,1,0
156,15,2,0
157,306,3,0
158,-20,1,0
159,4,2,0
160,-20,1,0
161,-20,1,0
162,142,4,0
163,449,10,0
164,18,3,0
165,-20,1,0
166,145,2,0
167,-20,1,0
168,-20,1,0
169,-20,1,0
170,-5,2,0
171,-20,1,0
172,-20,1,0
173,-20,1,0
174,-20,1,0
175,-20,1,0
176,79,4,0
177,-20,1,0
178,120,2,0
179,164,2,0
180,-20,1,0
181,-20,1,0
182,-20,1,0
183,278,3,0
184,-2,2,0
185,-20,1,0
186,-20,1,0
187,-20,1,0
188,-20,1,0
189,25,2,0
190,-20,1,0
191,-20,1,0
192,140,2,0
193,126,2,0
194,-20,1,0
195,15,3,0
196,1258,10,0
197,146,2,0
198,122,3,0
199,127,2,0
200,-20,1,0
201,-20,1,0
202,-20,1,0
203,-20,1,0
204,-20,1,0
205,533,5,0
206,-4,2,0
207,-20,1,0
208,-20,1,0
209,-20,1,0
210,300,3,0
211,9,2,0
212,151,3,0
213,-20,1,0
214,2,2,0
215,123,2,0
216,352,6,0
217,-20,1,0
218,-20,1,0
219,638,5,0
220,-20,1,0
221,-20,1,0
222,-20,1,0
223,-20,1,0
224,-13,2,0
225,-20,1,0
226,256,3,0
227,169,3,0
228,-20,1,0
229,-20,1,0
230,-20,1,0
231,-20,1,0
232,127,3,0
233,-20,1,0
234,-20,1,0
235,-20,1,0
236,176,4,0
237,160,3,0
238,-20,1,0
239,15,2,0
240,-20,1,0
241,-20,1,0
242,128,2,0
243,-20,1,0
244,-20,1,0
245,-20,1,0
246,-20,1,0
247,-11,2,0
248,164,3,0
249,26,3,0
250,3,2,0
251,502,6,0
252,-20,1,0
253,-20,1,0
254,-20,1,0
255,-20,1,0
256,-20,1,0
257,-20,1,0
258,-20,1,0
259,37,3,0
260,0,2,0
261,-20,1,0
262,128,2,0
263,-20,1,0
264,431,7,0
265,-20,1,0
266,-20,1,0
267,12,2,0
268,-20,1,0
269,-20,1,0
270,-20,1,0
271,-20,1,0
272,151,3,0
273,-20,1,0
274,72,4,0
275,14,2,0
276,354,5,0
277,53,4,0
278,-20,1,0
279,-20,1,0
280,420,4,0
281,-20,1,0
282,150,2,0
283,-20,1,0
284,-20,1,0
285,162,3,0
286,324,4,0
287,26,4,0
288,29,3,0
289,-20,1,0
290,-20,1,0
291,-20,1,0
292,324,5,0
293,171,3,0
294,177,3,0
295,-20,1,0
296,154,2,0
297,-20,1,0
298,-20,1,0
299,-20,1,0
300,-1,2,0
301,436,4,0
302,-20,1,0
303,-20,1,0
304,-20,1,0
305,-20,1,0
306,22,2,0
307,-20,1,0
308,159,4,0
309,266,3,0
310,-20,1,0
311,21,2,0
