
episode,reward,timesteps,successful
1,171,2,0
2,-20,1,0
3,-20,1,0
4,185,3,0
5,-20,1,0
6,-20,1,0
7,-20,1,0
8,-20,1,0
9,-20,1,0
10,-20,1,0
11,73,3,0
12,154,2,0
13,-20,1,0
14,78,3,0
15,39,2,0
16,-20,1,0
17,123,4,0
18,-20,1,0
19,61,2,0
20,18,2,0
21,-20,1,0
22,-20,1,0
23,-20,1,0
24,-20,1,0
25,-20,1,0
26,-20,1,0
27,-20,1,0
28,56,3,0
29,180,3,0
30,-20,1,0
31,3,2,0
32,-20,1,0
33,109,4,0
34,16,2,0
35,158,2,0
36,637,7,0
37,25,2,0
38,-20,1,0
39,349,3,0
40,-20,1,0
41,72,4,0
42,-20,1,0
43,-20,1,0
44,56,4,0
45,-20,1,0
46,-20,1,0
47,-20,1,0
48,-20,1,0
49,342,5,0
50,158,2,0
51,6,2,0
52,-20,1,0
53,-20,1,0
54,1,2,0
55,-20,1,0
56,-20,1,0
57,-20,1,0
58,-20,1,0
59,-20,1,0
60,-20,1,0
61,245,4,0
62,14,2,0
63,-20,1,0
64,-20,1,0
65,242,4,0
66,-20,1,0
67,-20,1,0
68,-20,1,0
69,21,2,0
70,-20,1,0
71,-20,1,0
72,-20,1,0
73,-20,1,0
74,1,2,0
75,86,3,0
76,-20,1,0
77,7,2,0
78,58,3,0
79,666,8,0
80,-20,1,0
81,-20,1,0
82,190,4,0
83,-20,1,0
84,10,2,0
85,-20,1,0
86,-20,1,0
87,-20,1,0
88,-8,2,0
89,-20,1,0
90,-20,1,0
91,31,2,0
92,-20,1,0
93,-20,1,0
94,-20,1,0
95,-20,1,0
96,-20,1,0
97,-20,1,0
98,49,3,0
99,6,2,0
100,60,3,0
101,-20,1,0
102,-20,1,0
103,-20,1,0
104,-3,2,0
105,180,3,0
106,42,2,0
107,388,8,0
108,-20,1,0
109,160,2,0
110,-20,1,0
111,-20,1,0
112,-20,1,0
113,14,2,0
114,-20,1,0
115,-20,1,0
116,-20,1,0
117,-20,1,0
118,11,2,0
119,-20,1,0
120,321,5,0
121,-20,1,0
122,-20,1,0
123,35,2,0
124,197,3,0
125,-20,1,0
126,-20,1,0
127,278,6,0
128,0,2,0
129,-20,1,0
130,96,3,0
131,257,5,0
132,-20,1,0
133,436,5,0
134,-20,1,0
135,-20,1,0
136,49,2,0
137,-20,1,0
138,26,2,0
139,-20,1,0
140,-20,1,0
141,-20,1,0
142,40,3,0
143,-20,1,0
144,-6,2,0
145,-20,1,0
146,-20,1,0
147,16,2,0
148,-20,1,0
149,-20,1,0
150,-20,1,0
151,19,2,0
152,-20,1,0
153,158,2,0
154,50,3,0
155,-20,1,0
156,-20,1,0
157,31,2,0
158,282,6,0
159,-20,1,0
160,322,5,0
161,-20,1,0
162,-13,2,0
163,-20,1,0
164,-20,1,0
165,-20,1,0
166,229,3,0
167,96,4,0
168,-20,1,0
169,-20,1,0
170,-11,2,0
171,-9,2,0
172,-20,1,0
173,-20,1,0
174,17,2,0
175,-20,1,0
176,-20,1,0
177,-20,1,0
178,4,2,0
179,73,3,0
180,-20,1,0
181,-20,1,0
182,30,2,0
183,-20,1,0
184,-20,1,0
185,231,4,0
186,201,3,0
187,-20,1,0
188,-20,1,0
189,9,2,0
190,-20,1,0
191,-20,1,0
192,-20,1,0
193,5,2,0
194,-20,1,0
195,-5,2,0
196,-20,1,0
197,-20,1,0
198,28,2,0
199,302,5,0
200,43,2,0
201,-20,1,0
202,-20,1,0
203,-20,1,0
204,-20,1,0
205,46,2,0
206,-20,1,0
207,-13,2,0
208,-20,1,0
209,-20,1,0
210,-20,1,0
211,11,2,0
212,-20,1,0
213,44,2,0
214,-20,1,0
215,-11,2,0
216,-20,1,0
217,3,3,0
218,41,3,0
219,-20,1,0
220,164,2,0
221,-20,1,0
222,-20,1,0
223,36,2,0
224,154,2,0
225,211,4,0
226,-20,1,0
227,-20,1,0
228,35,2,0
229,-20,1,0
230,-20,1,0
231,-20,1,0
232,-20,1,0
233,-20,1,0
234,-20,1,0
235,-20,1,0
236,-4,2,0
237,-20,1,0
238,-20,1,0
239,-20,1,0
240,-20,1,0
241,-20,1,0
242,37,3,0
243,-20,1,0
244,59,3,0
245,-20,1,0
246,-20,1,0
247,-20,1,0
248,-20,1,0
249,-20,1,0
250,-20,1,0
251,-20,1,0
252,-20,1,0
253,-14,2,0
254,-3,2,0
255,-20,1,0
256,185,4,0
257,-20,1,0
258,11,2,0
259,-20,1,0
260,-20,1,0
261,-20,1,0
262,-20,1,0
263,-20,1,0
264,-20,1,0
265,-20,1,0
266,478,7,0
267,28,2,0
268,-20,1,0
269,-20,1,0
270,-20,1,0
271,-20,1,0
272,169,2,0
273,-20,1,0
274,-20,1,0
275,-20,1,0
276,-20,1,0
277,-20,1,0
278,-20,1,0
279,29,2,0
280,-1,2,0
281,42,2,0
282,62,4,0
283,29,2,0
284,25,2,0
285,-20,1,0
286,26,2,0
287,-20,1,0
288,219,4,0
289,265,4,0
290,-20,1,0
291,-20,1,0
292,-20,1,0
293,-20,1,0
294,-20,1,0
295,130,5,0
296,-3,2,0
297,213,3,0
298,-20,1,0
299,4,2,0
300,289,5,0
301,-13,2,0
302,6,2,0
303,-20,1,0
304,8,2,0
305,-20,1,0
306,95,4,0
307,98,4,0
308,19,2,0
309,168,3,0
310,-20,1,0
311,42,2,0
312,23,2,0
313,-20,1,0
314,-20,1,0
315,-20,1,0
316,345,3,0
317,-20,1,0
318,-20,1,0
319,99,4,0
320,280,6,0
321,-20,1,0
322,-20,1,0
323,0,2,0
324,-20,1,0
325,194,3,0
326,201,5,0
327,374,6,0
328,-20,1,0
329,161,2,0
330,179,3,0
331,-20,1,0
332,-20,1,0
333,40,3,0
334,100,4,0
335,-14,2,0
336,-20,1,0
