
episode,reward,timesteps,successful
1,41,2,0
2,-20,1,0
3,191,3,0
4,-20,1,0
5,-20,1,0
6,-20,1,0
7,-20,1,0
8,-20,1,0
9,0,2,0
10,-20,1,0
11,-20,1,0
12,-20,1,0
13,-20,1,0
14,-20,1,0
15,84,3,0
16,7,2,0
17,508,6,0
18,-20,1,0
19,3,2,0
20,168,3,0
21,-20,1,0
22,448,4,0
23,-20,1,0
24,5,2,0
25,-20,1,0
26,874,9,0
27,-20,1,0
28,-20,1,0
29,-20,1,0
30,134,2,0
31,-3,2,0
32,163,3,0
33,153,3,0
34,175,3,0
35,-20,1,0
36,800,7,0
37,-20,1,0
38,-20,1,0
39,-20,1,0
40,-20,1,0
41,-20,1,0
42,-20,1,0
43,-20,1,0
44,-16,2,0
45,226,4,0
46,-20,1,0
47,-20,1,0
48,-20,1,0
49,-20,1,0
50,191,3,0
51,619,6,0
52,308,4,0
53,-20,1,0
54,204,3,0
55,-20,1,0
56,-20,1,0
57,9,2,0
58,-20,1,0
59,-20,1,0
60,11,2,0
61,86,3,0
62,148,2,0
63,-20,1,0
64,71,4,0
65,6,3,0
66,-20,1,0
67,-20,1,0
68,-20,1,0
69,162,2,0
70,-20,1,0
71,33,2,0
72,-20,1,0
73,171,4,0
74,-20,1,0
75,-20,1,0
76,-20,1,0
77,11,3,0
78,-20,1,0
79,-20,1,0
80,7,4,0
81,-20,1,0
82,-20,1,0
83,147,2,0
84,-20,1,0
85,30,2,0
86,-20,1,0
87,-20,1,0
88,-20,1,0
89,-16,2,0
90,-20,1,0
91,279,3,0
92,-20,1,0
93,166,3,0
94,-20,1,0
95,-20,1,0
96,-20,1,0
97,-20,1,0
98,171,4,0
99,-20,1,0
100,7,2,0
101,-20,1,0
102,3,2,0
103,-20,1,0
104,135,2,0
105,165,2,0
106,-20,1,0
107,21,2,0
108,-20,1,0
109,-20,1,0
110,151,3,0
111,-20,1,0
112,-20,1,0
113,91,4,0
114,-7,2,0
115,-20,1,0
116,172,3,0
117,-20,1,0
118,135,3,0
119,632,6,0
120,120,2,0
121,-20,1,0
122,165,3,0
123,184,3,0
124,352,6,0
125,-20,1,0
126,2,2,0
127,-20,1,0
128,7,2,0
129,0,2,0
130,-20,1,0
131,7,2,0
132,-20,1,0
133,248,4,0
134,-20,1,0
135,-20,1,0
136,139,2,0
137,145,3,0
138,-20,1,0
139,-20,1,0
140,161,3,0
141,-20,1,0
142,142,3,0
143,145,2,0
144,129,2,0
145,27,2,0
146,-20,1,0
147,-20,1,0
148,-20,1,0
149,-20,1,0
150,-20,1,0
151,129,2,0
152,284,3,0
153,0,2,0
154,242,5,0
155,-20,1,0
156,25,2,0
157,167,3,0
158,-20,1,0
159,-20,1,0
160,-20,1,0
161,75,3,0
162,-20,1,0
163,153,2,0
164,-20,1,0
165,-20,1,0
166,-20,1,0
167,-20,1,0
168,15,2,0
169,53,3,0
170,-20,1,0
171,-20,1,0
172,-20,1,0
173,-20,1,0
174,-20,1,0
175,72,5,0
176,4,2,0
177,-20,1,0
178,-20,1,0
179,230,5,0
180,219,5,0
181,-20,1,0
182,-20,1,0
183,-20,1,0
184,-20,1,0
185,28,3,0
186,316,4,0
187,-20,1,0
188,-20,1,0
189,17,2,0
190,146,2,0
191,-20,1,0
192,-20,1,0
193,-20,1,0
194,124,2,0
195,-20,1,0
196,155,3,0
197,3,2,0
198,0,2,0
199,167,2,0
200,-20,1,0
201,291,4,0
202,127,2,0
203,-20,1,0
204,-20,1,0
205,-20,1,0
206,-20,1,0
207,-20,1,0
208,49,3,0
209,-20,1,0
210,-20,1,0
211,-20,1,0
212,145,2,0
213,232,5,0
214,-20,1,0
215,138,3,0
216,-20,1,0
217,29,2,0
218,62,4,0
219,-20,1,0
220,-20,1,0
221,-20,1,0
222,133,2,0
223,-20,1,0
224,-20,1,0
225,-20,1,0
226,-20,1,0
227,160,4,0
228,22,2,0
229,-20,1,0
230,-20,1,0
231,-20,1,0
232,-20,1,0
233,-20,1,0
234,26,2,0
235,-20,1,0
236,-20,1,0
237,303,3,0
238,32,3,0
239,0,2,0
240,-20,1,0
241,157,2,0
242,325,3,0
243,-20,1,0
244,-20,1,0
245,-20,1,0
246,-20,1,0
247,-20,1,0
248,42,2,0
249,-20,1,0
250,-20,1,0
251,1,2,0
252,3,2,0
253,-9,2,0
254,-20,1,0
255,-20,1,0
256,-20,1,0
257,233,3,0
258,-20,1,0
259,148,2,0
260,118,2,0
261,0,2,0
262,335,4,0
263,701,5,0
264,6,2,0
265,-20,1,0
266,105,3,0
267,-20,1,0
268,-20,1,0
269,15,2,0
270,-9,2,0
271,112,4,0
272,318,3,0
273,-20,1,0
274,-20,1,0
275,348,4,0
276,-19,2,0
277,-20,1,0
278,32,3,0
279,4,2,0
280,-20,1,0
281,-20,1,0
282,657,6,0
283,-20,1,0
284,-20,1,0
285,-20,1,0
286,-14,2,0
287,145,2,0
288,8,2,0
289,-20,1,0
290,-4,2,0
291,-20,1,0
292,-20,1,0
293,-20,1,0
294,-20,1,0
295,-20,1,0
296,5,2,0
297,-20,1,0
298,362,4,0
299,-20,1,0
300,70,3,0
301,-20,1,0
302,-20,1,0
303,-20,1,0
304,-20,1,0
305,19,2,0
306,-20,1,0
307,-1,2,0
308,-7,2,0
309,-20,1,0
310,39,3,0
311,-20,1,0
312,37,2,0
313,-20,1,0
314,-20,1,0
315,5,2,0
316,-20,1,0
317,-20,1,0
318,-20,1,0
319,311,4,0
320,-20,1,0
321,-20,1,0
322,450,7,0
323,287,3,0
324,-20,1,0
325,-20,1,0
326,-20,1,0
327,-20,1,0
328,-20,1,0
329,-11,2,0
330,-20,1,0
331,208,4,0
332,146,3,0
333,130,2,0
334,-20,1,0
335,967,10,0
336,5,2,0
337,-20,1,0
338,49,3,0
339,186,3,0
340,-20,1,0
341,323,4,0
342,-20,1,0
343,-20,1,0
344,125,2,0
345,-20,1,0
346,-20,1,0
347,-20,1,0
348,376,5,0
349,157,2,0
350,3,2,0
351,-20,1,0
352,41,3,0
353,-20,1,0
354,27,2,0
355,133,2,0
356,-20,1,0
357,160,3,0
358,-20,1,0
359,-20,1,0
360,6,2,0
361,-20,1,0
362,9,2,0
363,-20,1,0
364,-20,1,0
365,825,10,1
366,157,3,0
367,-20,1,0
368,-6,2,0
369,-20,1,0
370,0,2,0
371,-20,1,0
372,0,2,0
373,-20,1,0
374,12,2,0
375,1652,10,1
376,-20,1,0
377,20,2,0
378,-20,1,0
379,-20,1,0
380,450,6,0
381,-20,1,0
382,299,3,0
383,-20,1,0
384,-20,1,0
385,42,2,0
386,-20,1,0
387,5,2,0
388,4,2,0
389,-20,1,0
390,-20,1,0
391,198,4,0
392,-20,1,0
393,746,6,0
394,-20,1,0
395,7,2,0
396,-20,1,0
397,51,3,0
398,68,4,0
399,131,2,0
400,-20,1,0
401,365,5,0
402,-20,1,0
403,11,2,0
404,4,2,0
405,-20,1,0
406,473,4,0
407,175,3,0
408,-1,2,0
409,-20,1,0
410,11,2,0
411,17,2,0
412,59,3,0
413,-20,1,0
414,-20,1,0
415,-20,1,0
416,-20,1,0
417,83,5,0
418,41,3,0
419,123,2,0
420,-20,1,0
421,-20,1,0
422,120,2,0
423,138,2,0
424,-20,1,0
425,-20,1,0
426,-20,1,0
427,-20,1,0
428,125,2,0
429,216,4,0
430,-20,1,0
431,52,3,0
432,-20,1,0
433,-20,1,0
434,20,2,0
435,-20,1,0
436,-20,1,0
437,-20,1,0
438,427,7,0
