
episode,reward,timesteps,successful
1,190,3,0
2,-20,1,0
3,156,3,0
4,-20,1,0
5,-12,2,0
6,-20,1,0
7,-20,1,0
8,328,6,0
9,591,10,0
10,-20,1,0
11,-20,1,0
12,32,2,0
13,164,2,0
14,111,5,0
15,-20,1,0
16,-20,1,0
17,4,2,0
18,-20,1,0
19,178,3,0
20,-20,1,0
21,16,2,0
22,-20,1,0
23,216,4,0
24,228,4,0
25,466,6,0
26,-20,1,0
27,-20,1,0
28,-20,1,0
29,-20,1,0
30,235,4,0
31,47,3,0
32,-20,1,0
33,-20,1,0
34,-20,1,0
35,68,4,0
36,-20,1,0
37,-20,1,0
38,-20,1,0
39,-20,1,0
40,14,2,0
41,172,3,0
42,40,2,0
43,16,2,0
44,-20,1,0
45,-20,1,0
46,72,3,0
47,-20,1,0
48,-20,1,0
49,-4,2,0
50,-20,1,0
51,369,4,0
52,0,2,0
53,-20,1,0
54,-20,1,0
55,5,2,0
56,163,2,0
57,-20,1,0
58,-20,1,0
59,-20,1,0
60,12,2,0
61,-20,1,0
62,-20,1,0
63,-15,2,0
64,-10,2,0
65,-20,1,0
66,141,2,0
67,-20,1,0
68,148,5,0
69,123,6,0
70,136,2,0
71,-20,1,0
72,220,5,0
73,-20,1,0
74,-20,1,0
75,-20,1,0
76,-20,1,0
77,8,2,0
78,22,3,0
79,-20,1,0
80,149,2,0
81,-20,1,0
82,-20,1,0
83,1,2,0
84,203,5,0
85,29,2,0
86,34,3,0
87,-20,1,0
88,-20,1,0
89,-20,1,0
90,13,2,0
91,285,3,0
92,158,2,0
93,380,5,0
94,-20,1,0
95,-4,2,0
96,-20,1,0
97,156,2,0
98,0,2,0
99,-20,1,0
100,-20,1,0
101,-20,1,0
102,17,2,0
103,-20,1,0
104,-20,1,0
105,-20,1,0
106,-6,2,0
107,11,2,0
108,157,2,0
109,-20,1,0
110,-20,1,0
111,-20,1,0
112,41,2,0
113,-20,1,0
114,30,2,0
115,-20,1,0
116,237,7,0
117,-20,1,0
118,-20,1,0
119,-20,1,0
120,69,3,0
121,30,3,0
122,-20,1,0
123,-20,1,0
124,-20,1,0
125,512,5,0
126,-20,1,0
127,45,4,0
128,9,2,0
129,-20,1,0
130,115,4,0
131,-20,1,0
132,-20,1,0
133,12,2,0
134,-20,1,0
135,-20,1,0
136,15,2,0
137,-20,1,0
138,-20,1,0
139,40,3,0
140,-20,1,0
141,176,2,0
142,13,2,0
143,-12,2,0
144,-20,1,0
145,150,2,0
146,78,3,0
147,-10,2,0
148,45,2,0
149,52,2,0
150,-20,1,0
151,51,3,0
152,21,3,0
153,-20,1,0
154,-20,1,0
155,201,3,0
156,-20,1,0
157,-20,1,0
158,46,2,0
159,590,10,0
160,-20,1,0
161,445,8,0
162,-20,1,0
163,45,2,0
164,20,2,0
165,64,3,0
166,-20,1,0
167,-20,1,0
168,21,2,0
169,-20,1,0
170,-20,1,0
171,81,4,0
172,-20,1,0
173,5,2,0
174,-20,1,0
175,-7,3,0
176,-20,1,0
177,15,2,0
178,-20,1,0
179,134,2,0
180,13,2,0
181,159,2,0
182,-20,1,0
183,-20,1,0
184,-20,1,0
185,-20,1,0
186,42,2,0
187,-20,1,0
188,0,2,0
189,-20,1,0
190,-9,2,0
191,36,3,0
192,165,5,0
193,-20,1,0
194,56,3,0
195,43,2,0
196,31,2,0
197,178,2,0
198,-20,1,0
199,-20,1,0
200,399,4,0
201,471,4,0
202,-20,1,0
203,101,5,0
204,-5,2,0
205,-20,1,0
206,4,2,0
207,9,2,0
208,-20,1,0
209,-20,1,0
210,-5,2,0
211,79,4,0
212,176,3,0
213,175,5,0
214,-20,1,0
215,-20,1,0
216,29,3,0
217,-20,1,0
218,-20,1,0
219,-20,1,0
220,-20,1,0
221,480,4,0
222,-20,1,0
223,8,2,0
224,-20,1,0
225,-20,1,0
226,-20,1,0
227,-20,1,0
228,-20,1,0
229,-20,1,0
230,-20,1,0
231,171,3,0
232,169,3,0
233,-20,1,0
234,20,2,0
235,-20,1,0
236,-20,1,0
237,23,2,0
238,47,2,0
239,138,4,0
240,-20,1,0
241,-20,1,0
242,143,2,0
243,-20,1,0
244,-20,1,0
245,134,2,0
246,-20,1,0
247,-20,1,0
248,-20,1,0
249,-20,1,0
250,-20,1,0
251,-20,1,0
252,23,2,0
253,-20,1,0
254,52,3,0
255,188,4,0
256,13,2,0
257,151,2,0
258,-20,1,0
259,16,2,0
260,-20,1,0
261,-20,1,0
262,7,2,0
263,50,3,0
264,-14,2,0
265,-20,1,0
266,53,3,0
267,68,4,0
268,14,2,0
269,-20,1,0
270,5,2,0
271,-13,2,0
272,-20,1,0
273,-20,1,0
274,-20,1,0
275,103,5,0
276,345,4,0
277,20,2,0
278,131,2,0
279,2,2,0
280,386,4,0
281,-2,2,0
282,-20,1,0
283,179,3,0
284,-20,1,0
285,-20,1,0
286,39,2,0
287,86,4,0
288,-20,1,0
289,214,4,0
290,-20,1,0
291,3,2,0
292,-20,1,0
293,-20,1,0
294,150,2,0
295,21,2,0
296,45,3,0
297,7,2,0
298,-20,1,0
299,685,6,0
300,55,3,0
301,-20,1,0
302,-20,1,0
303,9,2,0
304,517,5,0
305,2,2,0
306,-20,1,0
307,-20,1,0
308,1,2,0
309,-20,1,0
310,0,2,0
311,-20,1,0
312,122,5,0
313,-20,1,0
314,-20,1,0
315,-20,1,0
316,248,4,0
317,-20,1,0
318,-20,1,0
319,187,3,0
320,5,2,0
321,-20,1,0
322,51,2,0
323,-20,1,0
324,-20,1,0
325,-20,1,0
326,185,3,0
327,-20,1,0
328,155,2,0
329,-20,1,0
330,223,4,0
331,-20,1,0
332,43,2,0
333,48,2,0
334,-20,1,0
335,16,2,0
336,-20,1,0
337,140,2,0
338,-20,1,0
339,236,5,0
340,-20,1,0
341,20,2,0
342,-20,1,0
343,-20,1,0
344,-20,1,0
345,65,4,0
346,-20,1,0
347,-20,1,0
348,-20,1,0
349,-20,1,0
350,-20,1,0
351,488,7,0
352,6,2,0
353,19,2,0
354,-20,1,0
355,-20,1,0
356,-20,1,0
357,-20,1,0
358,-20,1,0
359,-20,1,0
360,-20,1,0
361,-20,1,0
362,345,3,0
363,-20,1,0
364,139,2,0
365,-20,1,0
366,-20,1,0
367,-20,1,0
368,-20,1,0
369,874,7,0
370,140,2,0
371,-20,1,0
372,-20,1,0
373,-20,1,0
374,342,6,0
375,-20,1,0
376,-20,1,0
377,-20,1,0
378,-20,1,0
379,-20,1,0
380,-20,1,0
381,-20,1,0
382,-20,1,0
383,-20,1,0
384,-20,1,0
385,150,2,0
386,-20,1,0
387,196,3,0
388,158,2,0
389,445,6,0
390,-20,1,0
391,-20,1,0
392,-20,1,0
393,336,3,0
394,-20,1,0
395,374,4,0
396,-20,1,0
397,241,3,0
398,34,2,0
399,236,5,0
400,148,2,0
401,-20,1,0
402,145,2,0
403,-20,1,0
404,-20,1,0
405,-20,1,0
406,-20,1,0
407,95,3,0
